Date,Open,High,Low,Close,Volume,Num_deals,Value
2011-03-12,6108.67,6321.30,6108.06,6297.01,336507112,129411,6887578342.25
2011-10-16,6164.60,6166.44,6123.16,6135.12,190758235,170521,4501201895.15
2011-10-15,6105.04,6168.14,6105.04,6164.60,167216467,101514,4566280514.90
2011-10-12,6118.62,6118.74,6078.48,6105.04,180592667,113693,4423899439.20
2011-10-11,6136.97,6152.83,6106.20,6118.62,188842044,113540,4724378753.85
2011-10-10,6099.77,6136.97,6099.63,6136.97,193019666,111029,4613920075.90
2011-10-09,6084.55,6117.41,6076.86,6099.77,254259589,133714,5460240106.95
2011-10-08,6002.09,6086.67,6001.29,6084.55,208758207,118322,4866277816.30
2011-10-05,5965.13,6010.48,5965.13,6002.09,165385014,108060,4257164932.15
2011-10-04,6024.39,6024.39,5945.76,5965.13,177598368,111475,4242946657.25
2011-10-03,6112.41,6112.41,6020.65,6024.39,222993643,142967,5386492035.50
2011-10-02,6116.71,6136.63,6087.54,6112.41,237627466,132143,5317007879.30
2011-10-01,6112.37,6121.01,6075.09,6116.71,209922389,112889,4716441700.05
2011-09-28,6128.47,6134.15,6103.73,6112.37,167135774,119261,4673782163.35
2011-09-27,6103.78,6146.32,6103.78,6128.47,211048989,136993,5476130584.90
2011-09-26,6083.37,6108.82,6046.61,6103.78,193512481,120684,5131304797.75
2011-09-25,6142.26,6142.26,6041.85,6083.37,154988884,96745,3845678267.40
2011-09-21,6144.27,6146.11,6118.66,6142.26,164377573,106011,4135709155.05
2011-09-20,6118.34,6151.90,6114.97,6144.27,162250129,96132,3750631487.55
2011-09-19,6144.35,6145.33,6106.90,6118.34,145618153,92578,3452267100.60
2011-09-18,6173.49,6181.21,6135.12,6144.35,155774878,94307,3748096464.00
2011-09-17,6071.52,6176.97,6071.52,6173.49,195786413,96695,4534924949.90
2011-09-14,6068.92,6089.80,6063.65,6071.52,159703809,100453,4111299493.10
2011-06-04,6741.83,6741.83,6606.00,6624.95,255413603,127546,5784444677.50
2011-06-01,6735.98,6767.30,6734.96,6741.83,268959755,117080,5773740984.20
2011-05-31,6732.96,6754.23,6724.63,6735.98,233824378,119296,5379756220.35
2011-05-30,6754.82,6766.35,6716.00,6732.96,253711900,118824,5247108470.65
2011-05-29,6751.11,6771.36,6740.81,6754.82,296055369,127524,5955127667.30
2011-05-28,6723.64,6781.27,6723.39,6751.11,331969886,118873,6101656683.40
2011-05-25,6710.71,6729.00,6676.98,6723.64,231742563,115020,4778550825.10
2011-05-24,6702.76,6728.54,6698.15,6710.71,260064272,116117,5083017368.75
2011-05-23,6750.75,6750.75,6684.45,6702.76,261432935,120941,5277085569.55
2011-05-22,6731.24,6786.03,6731.24,6750.75,306669864,142002,6413855582.00
2011-09-13,6037.25,6089.13,6037.25,6068.92,158130669,83332,3620738647.60
2011-09-12,6140.79,6140.79,6034.04,6037.25,195097239,107461,4342650251.05
2011-09-11,6138.06,6151.38,6118.64,6140.79,189963694,94038,3789214470.65
2011-09-10,6124.40,6138.06,6053.95,6138.06,169008616,89419,3765293654.95
2011-09-07,6061.53,6124.42,6061.53,6124.40,142807774,83205,3437257752.05
2011-09-06,6090.54,6102.38,6058.72,6061.53,132942000,78866,3094953687.50
2011-05-21,6686.16,6731.53,6686.09,6731.24,249942791,120845,5416978559.70
2011-05-18,6651.37,6690.83,6651.31,6686.16,261744445,121926,5299757942.90
2011-05-17,6634.03,6665.34,6615.17,6651.37,238929144,119809,5267962448.20
2011-05-16,6690.68,6693.21,6621.62,6634.03,262308531,132770,5522091534.45
