Date,Open,High,Low,Close,Volume,Adj Close,Num_deals,Value
2009-12-27,6271.54,6278.8,6233.79,6254.67,111633487,6254.67,67640,2748702144
2009-12-26,6243.93,6292.33,6243.93,6271.54,143194658,6271.54,74012,3455796618
2009-12-23,6229.17,6249.03,6198.64,6243.93,104938938,6243.93,61995,2340394470
2009-12-22,6252.21,6274.44,6216.32,6229.17,88520797,6229.17,60162,2161594183
2009-12-21,6217.09,6252.21,6201.48,6252.21,114228249,6252.21,68085,2734141845
2009-12-20,6203.85,6234.66,6189.62,6217.09,114060136,6217.09,73914,2855898631
2009-12-19,6153.85,6204.3,6150.41,6203.85,103205899,6203.85,67123,2479761467
2009-12-16,6109.79,6156.05,6102.32,6153.85,83976066,6153.85,60267,2040277054
2009-12-15,6155.03,6155.17,6099.49,6109.79,106037942,6109.79,63862,2339585479
2009-12-14,6025.92,6167.6,6025.92,6155.03,125435939,6155.03,68159,2784215586
2009-12-13,6025.5,6048.94,5984.29,6025.92,96786542,6025.92,63692,2129024104
2009-12-12,5954.13,6110.72,5954.13,6025.5,124085112,6025.5,81452,2956823390
2009-12-09,6102.62,6102.62,5926.47,5954.13,133616853,5954.13,96482,3045387173
2009-12-08,6246.5,6246.5,6045,6102.62,153869180,6102.62,195241,3649076015
2009-12-07,6309.05,6309.67,6239.19,6246.5,103452816,6246.5,65263,2423945464
2009-12-06,6288.27,6325.87,6287.35,6309.05,119040561,6309.05,70420,2799264024
2009-12-05,6355.82,6355.82,6208.1,6288.27,101705316,6288.27,68846,2477626270
2009-11-25,6303.81,6362.25,6303.28,6355.82,193228538,6355.82,67958,3949243663
2009-11-24,6291.27,6304.03,6272.53,6303.81,85605511,6303.81,65775,2177451706
2009-11-23,6284.39,6316.53,6277.21,6291.27,130089250,6291.27,69285,2915746861
2009-11-22,6270.75,6284.52,6238.1,6284.39,94060293,6284.39,72481,2330005826
2009-11-21,6318.68,6318.68,6257.31,6270.75,100559681,6270.75,84310,2534548486
2009-11-18,6332.7,6346.03,6308.26,6318.68,131463424,6318.68,95745,3200969336
2009-11-17,6315.45,6356.34,6314.22,6332.7,171857229,6332.7,99577,4104721882
2009-11-16,6271.51,6332.42,6267.77,6315.45,143371143,6315.45,92359,3794521557
2009-11-15,6296.18,6296.58,6252.99,6271.51,117857153,6271.51,87370,3069586732
2009-11-14,6253.95,6296.18,6252.19,6296.18,113294520,6296.18,95149,3199998640
2009-11-11,6238.81,6255.2,6196.67,6253.95,150631200,6253.95,101794,4082056439
2009-11-10,6275.96,6322.94,6226.73,6238.81,202938062,6238.81,120122,5187638272
2009-11-09,6255.8,6277.32,6237.01,6275.96,178770812,6275.96,110395,4526015501
2009-11-08,6350.89,6350.89,6210.26,6255.8,277617403,6255.8,150244,6253365704
2009-11-07,6343.12,6374.77,6314.94,6350.89,213191091,6350.89,112572,4863940415
2009-11-04,6283.31,6363.44,6283.31,6343.12,220234551,6343.12,122117,5272950038
2009-11-03,6371.97,6381.6,6280.94,6283.31,232509129,6283.31,140376,5662671804
2009-11-02,6313.08,6374.35,6281.86,6371.97,228392097,6371.97,135029,5597642081
2009-11-01,6268.55,6313.08,6225.06,6313.08,181965661,6313.08,115768,4435392161
2009-10-31,6441.6,6442.3,6237.93,6268.55,214380319,6268.55,140016,5194507193
2009-10-28,6532.92,6540.73,6431.34,6441.6,249771993,6441.6,147740,5674522635
